Step;Temp;Press;TotEng;Volume
520;105.625551016526;185.478611425774;-8545.99007116499;24136.2620169691
530;104.120200187957;4.15505255109368;-8545.633473454;24135.7850241608
540;109.340004554822;-296.454175340366;-8545.13652267246;24155.0181343663
550;109.677871420631;357.475739329462;-8544.56089919031;24153.6085381867
560;110.00751653012;-460.209613799103;-8544.05934859496;24173.0358104431
570;109.819214200377;512.02649061706;-8543.50949885799;24157.0405358475
580;115.148037311065;-739.166595469923;-8542.83368913984;24179.7037016378
590;114.143481819398;602.542751481888;-8542.12242256546;24163.364191566
600;114.516281494177;-284.205107310696;-8541.40066319181;24177.3889637918
610;121.98090648191;42.1396663642676;-8539.97066573462;24168.1499484087
